causal_effect,med1_loading,med2_loading,sample_size,mean_unstandardized_b,sd_unstandardized_b,mean_standardized_b,sd_standardized_b,percent_significant,mean_correlation,mean_med1_interitem_r,mean_med2_interitem_r
0.3,0.6,0.6,100,0.1723390392280539,0.1021564419655601,0.16805816673328736,0.09791521730370453,38.4,0.16805816673328736,0.2667120971599864,0.2778780167527889
0.3,0.6,0.6,200,0.17839681617560096,0.06778554635543954,0.17417289385635396,0.0645366681187594,70.6,0.17417289385635396,0.26546565023474816,0.27966937370606154
0.3,0.6,0.6,500,0.17802878308134443,0.04614624930750618,0.17365183744049895,0.044457499133650054,97.8,0.17365183744049895,0.26656031425591015,0.28129069211555435
0.3,0.6,0.8,100,0.2381840736259095,0.12836956805202446,0.189717047763441,0.10012176195759068,49,0.18971704776344098,0.26261836604621336,0.4111139060680257
0.3,0.6,0.8,200,0.22899973714882393,0.08346330838365458,0.18427343845968053,0.06692237921444906,76.2,0.18427343845968056,0.26216810064762786,0.4059729759058965
0.3,0.6,0.8,500,0.2340772557277996,0.05577147900231897,0.1869608187158411,0.04398435680705259,98.8,0.1869608187158411,0.2636140913305969,0.41232601508541183
0.3,0.8,0.6,100,0.16157917943771893,0.08572605954241719,0.18767187979110825,0.09670510382343543,49.6,0.18767187979110825,0.3842524415386947,0.2820774311643796
0.3,0.8,0.6,200,0.16135651597839873,0.06042842246966885,0.18907242588565198,0.06953047573077104,74.6,0.18907242588565198,0.38844338964980935,0.2827082191854889
0.3,0.8,0.6,500,0.16499825376079216,0.037823544419515395,0.19410934695948168,0.04393813902687109,99.2,0.19410934695948168,0.389727747384545,0.2818268331141083
0.3,0.8,0.8,100,0.2131171409572599,0.10946972927863596,0.20576332537640182,0.10357097027805642,54,0.20576332537640182,0.3888865895887135,0.40615463534790636
0.3,0.8,0.8,200,0.21713032413742794,0.07238267393830271,0.21052922248274844,0.06878179282874756,85,0.21052922248274847,0.3880335210046231,0.40764107000414174
0.3,0.8,0.8,500,0.21249376352454846,0.04456949752986157,0.20630885949118088,0.04294664686530092,100,0.20630885949118088,0.3885738202424258,0.40731392888043594
0.5,0.6,0.6,100,0.29232195928392607,0.10123042811856857,0.2730738910266107,0.09246995625501307,80.2,0.2730738910266107,0.26297240296560526,0.30887176951208756
0.5,0.6,0.6,200,0.29719311002593635,0.07030269657304189,0.27762722423932157,0.06200612628203888,99.2,0.27762722423932157,0.26629673439088,0.30928787464221913
0.5,0.6,0.6,500,0.29763879708406743,0.045411181998296433,0.2771254031393875,0.040742591733191356,100,0.27712540313938755,0.2648640776370063,0.3107728255150388
0.5,0.6,0.8,100,0.38955499689073964,0.12250159170346553,0.29587711523326077,0.0888330666455136,87.2,0.29587711523326077,0.264113195701587,0.44135766332167226
0.5,0.6,0.8,200,0.39893530024862084,0.08741839910126666,0.30378368371413716,0.06193128874016893,99,0.3037836837141372,0.26456133442221136,0.44237163513265704
0.5,0.6,0.8,500,0.39026048815999337,0.05954052677226478,0.2967046788429884,0.04266870499681218,100,0.2967046788429884,0.26326315202886025,0.44233141291156614
0.5,0.8,0.6,100,0.27323718834756494,0.08465049941188009,0.3062802275697561,0.09188803788323446,88.2,0.3062802275697561,0.3844802169871697,0.30709597684201057
0.5,0.8,0.6,200,0.2728823633024346,0.05944159573318541,0.3062550903990289,0.06389361776090464,99.2,0.3062550903990289,0.3907811586877725,0.3118966850464626
0.5,0.8,0.6,500,0.26992308304877916,0.03841892878260358,0.3034770071256967,0.04079368652316365,100,0.3034770071256967,0.3903737328392339,0.3108161823992814
0.5,0.8,0.8,100,0.36187567600316556,0.10811231541986069,0.33175017775077215,0.09285274809220982,92.2,0.33175017775077215,0.3896865575064137,0.442448121029431
0.5,0.8,0.8,200,0.3595952989855986,0.07132002798580662,0.33191289877558144,0.06311239328576626,99.6,0.33191289877558144,0.38808106047029206,0.43901724926100694
0.5,0.8,0.8,500,0.36006245793772856,0.045057532359614696,0.33021619241705735,0.03850687154070839,100,0.33021619241705735,0.3882884353045722,0.4447596033944729
